anio_hidro;mes;Qmax_inst;Qmd_max;fecha;RI;clase_RI;clase_magnitud
1977;1;15.72;8.4;1977-01-01;1.8714285714285714;Rápida;Notable
1977;2;19.0;9.44;1977-02-01;2.01271186440678;Flash flood;Notable
1977;3;5.34;4.7;1977-03-01;1.1361702127659574;Progresiva;Ordinario
1977;4;3.42;3.42;1977-04-01;1.0;Progresiva;Ordinario
1977;5;2.14;2.14;1977-05-01;1.0;Progresiva;Ordinario
1977;6;5.98;3.26;1977-06-01;1.8343558282208592;Rápida;Ordinario
1977;7;2.14;2.14;1977-07-01;1.0;Progresiva;Ordinario
1977;8;2.14;2.14;1977-08-01;1.0;Progresiva;Ordinario
1977;9;2.3;2.3;1977-09-01;1.0;Progresiva;Ordinario
1977;10;61.4;8.4;1976-10-01;7.309523809523809;Flash flood;Significativo
1977;11;107.0;23.0;1976-11-01;4.6521739130434785;Flash flood;Significativo
1977;12;47.0;23.0;1976-12-01;2.0434782608695654;Flash flood;Notable
1978;1;4.06;4.06;1978-01-01;1.0;Progresiva;Ordinario
1978;2;71.0;17.24;1978-02-01;4.118329466357309;Flash flood;Significativo
1978;3;12.92;12.92;1978-03-01;1.0;Progresiva;Notable
1978;4;9.44;4.86;1978-04-01;1.94238683127572;Rápida;Notable
1978;5;11.64;5.5;1978-05-01;2.1163636363636367;Flash flood;Notable
1978;6;0.9;0.9;1978-06-01;1.0;Progresiva;Ordinario
1978;7;0.15;0.0;1978-07-01;;;Ordinario
1978;8;0.15;0.0;1978-08-01;;;Ordinario
1978;9;0.15;0.0;1978-09-01;;;Ordinario
1978;10;21.5;16.48;1977-10-01;1.3046116504854368;Moderada;Notable
1978;11;4.06;4.06;1977-11-01;1.0;Progresiva;Ordinario
1978;12;87.8;21.0;1977-12-01;4.180952380952381;Flash flood;Significativo
1979;1;54.2;18.5;1979-01-01;2.92972972972973;Flash flood;Significativo
1979;2;68.0;13.56;1979-02-01;5.014749262536873;Flash flood;Significativo
1979;3;33.8;15.72;1979-03-01;2.150127226463104;Flash flood;Notable
1979;4;80.0;24.2;1979-04-01;3.3057851239669422;Flash flood;Significativo
1979;5;5.98;5.98;1979-05-01;1.0;Progresiva;Ordinario
1979;6;2.46;2.46;1979-06-01;1.0;Progresiva;Ordinario
1979;7;0.0;0.0;1979-07-01;;;
1979;8;0.0;0.0;1979-08-01;;;
1979;9;0.0;0.0;1979-09-01;;;
1979;10;0.0;0.0;1978-10-01;;;
1979;11;18.0;5.98;1978-11-01;3.0100334448160533;Flash flood;Notable
1979;12;104.0;29.0;1978-12-01;3.586206896551724;Flash flood;Significativo
1980;1;2.14;1.82;1980-01-01;1.1758241758241759;Progresiva;Ordinario
1980;2;2.46;2.46;1980-02-01;1.0;Progresiva;Ordinario
