evento_id;fecha_inicio;fecha_fin;Qmax_evento;Qmed_evento;volumen_total;duracion_dias;Qbase;ratio_Qmax_Qbase
96;1993-05-18;1993-05-18;13.149;13.149;13.149;1;2.742142857142857;4.795154988278197
97;1993-05-25;1993-05-30;60.462;21.9555;131.733;6;4.484285714285714;13.483083784644792
98;1993-10-09;1993-10-25;128.047;36.47529411764706;620.08;17;0.7865714285714286;162.7913185615692
99;1993-10-27;1993-11-06;104.094;31.96127272727273;351.574;11;6.414000000000001;16.229186155285312
100;1994-01-10;1994-01-10;16.656;16.656;16.656;1;3.0270000000000006;5.502477700693754
101;1994-01-13;1994-01-14;8.464;8.2095;16.419;2;5.590714285714285;1.513938929347132
102;1994-02-23;1994-02-23;31.871;31.871;31.871;1;3.3477142857142854;9.520227020568406
103;1994-02-27;1994-03-05;15.201;10.507000000000001;73.549;7;8.811285714285713;1.7251738841420907
104;1994-05-14;1994-06-11;107.824;22.31796551724138;647.221;29;1.7375714285714283;62.05442736167065
105;1994-11-03;1994-11-12;54.84;21.6646;216.64600000000002;10;0.5422857142857144;101.12750263435194
106;1995-01-18;1995-01-19;37.364;22.971999999999998;45.943999999999996;2;3.310428571428571;11.28675613860959
107;1995-02-13;1995-02-13;8.079;8.079;8.079;1;1.2184285714285714;6.630671825536406
108;1995-10-25;1995-10-25;4.749;4.749;4.749;1;0.09657142857142856;49.176035502958584
109;1995-11-15;1995-11-28;23.603;15.875857142857143;222.262;14;3.736;6.31771948608137
110;1995-12-22;1996-02-13;137.255;31.23735185185185;1686.817;54;3.2865714285714285;41.76236633921586
111;1996-03-24;1996-04-03;37.364;15.367272727272727;169.04;11;4.257571428571429;8.775895044123073
112;1996-04-14;1996-04-16;10.586;10.586;31.758000000000003;3;8.669571428571428;1.221052284673818
113;1996-04-22;1996-04-23;17.84;14.213000000000001;28.426000000000002;2;8.830285714285713;2.0203196790267266
